,,,,,,
设备ID,报文类型,报文说明,报文功能码,原始报文,数据采集时间,数据入库时间
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008c260202082521f1f1109033085350f0f026020208252219000000272b0000000000392300000150371b000000302b000004300020190000001f1900000026190000001a190000003812114503d7f8,2026-02-02 08:25:00,2026-02-02 08:25:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008c2602020825000387e2,2026-02-02 08:25:01,2026-02-02 08:25:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008c2602020824000347b3,2026-02-02 08:24:00,2026-02-02 08:24:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008c260202082300038602,2026-02-02 08:23:00,2026-02-02 08:23:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008c260202082200034653,2026-02-02 08:22:00,2026-02-02 08:22:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008c2602020821000346a3,2026-02-02 08:21:01,2026-02-02 08:21:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008b2602020820241b5df7,,2026-02-02 08:20:24
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008b260202082022f1f1109033085350f0f026020208202219000000272b0000000000392300000151371b000000302b000004300020190000001f1900000026190000001a190000003812114203b239,2026-02-02 08:20:00,2026-02-02 08:20:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008b2602020820000360b3,2026-02-02 08:20:00,2026-02-02 08:20:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008b260202081900036d63,2026-02-02 08:19:01,2026-02-02 08:19:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008b26020208180003ad32,2026-02-02 08:18:00,2026-02-02 08:18:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008b26020208170003ae02,2026-02-02 08:17:01,2026-02-02 08:17:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008b260202081600036e53,2026-02-02 08:16:01,2026-02-02 08:16:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008a2602020815221b3f25,,2026-02-02 08:15:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008a260202081521f1f1109033085350f0f026020208152219000000272b0000000000392300000154371b000000302b000004300020190000001f1900000026190000001a19000000381211420312a4,2026-02-02 08:15:00,2026-02-02 08:15:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008a26020208150003a262,2026-02-02 08:15:01,2026-02-02 08:15:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008a260202081400036233,2026-02-02 08:14:01,2026-02-02 08:14:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008a26020208130003a382,2026-02-02 08:13:00,2026-02-02 08:13:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008a2602020812000363d3,2026-02-02 08:12:01,2026-02-02 08:12:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008a260202081100036323,2026-02-02 08:11:01,2026-02-02 08:11:01
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200892602020810221b2b75,,2026-02-02 08:10:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020089260202081021f1f1109033085350f0f026020208102219000000272b0000000000392300000158371b000000302b000004300020190000001f1900000026190000001a190000003812113903d45e,2026-02-02 08:10:00,2026-02-02 08:10:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008926020208100003b632,2026-02-02 08:10:01,2026-02-02 08:10:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200892602020809000371e3,2026-02-02 08:09:01,2026-02-02 08:09:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008926020208080003b1b2,2026-02-02 08:08:01,2026-02-02 08:08:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008926020208070003b282,2026-02-02 08:07:01,2026-02-02 08:07:01
